"","RNAi.well","ORF","GeneID","public.name","gene.other.ids"
"10042@A03","GHR-10042@A3","C06E1.2",NA,NA,NA
"10042@B06","GHR-10042@B6","C03B8.1",NA,NA,NA
"10051@E08","GHR-10051@E8","F42H10.4",NA,NA,NA
"10051@G04","GHR-10051@G4","F11F1.2",NA,NA,NA
"10056@A10","GHR-10056@A10","E03A3.7",NA,NA,NA
"10056@C11","GHR-10056@C11","R151.4",NA,NA,NA
"10069@A08","GHR-10069@A8","F30F8.7",NA,NA,NA
"10069@B07","GHR-10069@B7","F22D6.7",NA,NA,NA
"10069@B08","GHR-10069@B8","Y48G9A.1",NA,NA,NA
"10069@E01","GHR-10069@E1","W01B11.4",NA,NA,NA
"10070@B07","GHR-10070@B7","Y92C3A.1",NA,NA,NA
"10070@B10","GHR-10070@B10","F53G12.11",NA,NA,NA
"10070@D06","GHR-10070@D6","F48C1.4",NA,NA,NA
"10113@E02","GHR-10113@E2","C08G5.5",NA,NA,NA
"10113@F02","GHR-10113@F2","T24H10.2",NA,NA,NA
"10192@E04","GHR-10192@E4","F32B6.11",NA,NA,NA
"10192@F03","GHR-10192@F3","W07B8.3",NA,NA,NA
"11004@F11","GHR-11004@F11","F23F12.7",NA,NA,NA
"11005@A06","GHR-11005@A06","W03A5.5",NA,NA,NA
"11005@E02","GHR-11005@E02","Y48A6B.2",NA,NA,NA
"11010@A12","GHR-11010@A12","T02E1.4",NA,NA,NA
"11011@C03","GHR-11011@C03","K09B3.2",NA,NA,NA
"11011@F02","GHR-11011@F02","K04A8.3",NA,NA,NA
"11011@G07","GHR-11011@G07","Y38B5A.1",NA,NA,NA
"11011@H07","GHR-11011@H07","C44H9.8",NA,NA,NA
"11012@B12","GHR-11012@B12","Y53C10A.2",NA,NA,NA
"11012@E08","GHR-11012@E08","Y71F9B.14",NA,NA,NA
"11012@H05","GHR-11012@H05","C07G1.2",NA,NA,NA
"11014@A09","GHR-11014@A09","C48E7.4",NA,NA,NA
"11014@C07","GHR-11014@C07","T01G9.1",NA,NA,NA
"11015@D11","GHR-11015@D11","T01A4.2",NA,NA,NA
"11016@D07","GHR-11016@D07","F29D10.5",NA,NA,NA
"11016@H02","GHR-11016@H02","M01A10.5",NA,NA,NA
"11017@C03","GHR-11017@C03","Y44E3A.5",NA,NA,NA
"11020@H04","GHR-11020@H04","K10D3.5",NA,NA,NA
"11021@E11","GHR-11021@E11","C04F1.2",NA,NA,NA
"11022@F02","GHR-11022@F02","Y48G1C.7",NA,NA,NA
"11023@A03","GHR-11023@A03","T01A4.3",NA,NA,NA
"11024@E11","GHR-11024@E11","Y48E1B.6",NA,NA,NA
"11025@C08","GHR-11025@C08","T02G5.2",NA,NA,NA
"11025@H09","GHR-11025@H09","C01B12.7",NA,NA,NA
"11026@C03","GHR-11026@C03","Y57A10A.32",NA,NA,NA
"11027@C04","GHR-11027@C04","B0252.6",NA,NA,NA
"11027@H03","GHR-11027@H03","F53A10.1",NA,NA,NA
"11028@B06","GHR-11028@B06","Y46G5A.11",NA,NA,NA
"11028@G05","GHR-11028@G05","R52.8",NA,NA,NA
"11030@D02","GHR-11030@D02","K02F6.2",NA,NA,NA
"11030@D12","GHR-11030@D12","B0432.6",NA,NA,NA
"11031@E07","GHR-11031@E07","DH11.4",NA,NA,NA
"11035@B05","GHR-11035@B05","E01G4.2",NA,NA,NA
"11035@B07","GHR-11035@B07","F26H11.3",NA,NA,NA
"11035@H08","GHR-11035@H08","F54A3.1",NA,NA,NA
"11035@H10","GHR-11035@H10","F26H11.3",NA,NA,NA
"11036@B01","GHR-11036@B01","F26H11.3",NA,NA,NA
"11037@G09","GHR-11037@G09","F54D12.5",NA,NA,NA
"11038@B10","GHR-11038@B10","F29C12.2",NA,NA,NA
"11039@G06","GHR-11039@G06","F36H12.13",NA,NA,NA
"11040@A01","GHR-11040@A01","C52D10.1",NA,NA,NA
"11040@A09","GHR-11040@A09","JC8.11",NA,NA,NA
"11040@D09","GHR-11040@D09","Y11D7A.15",NA,NA,NA
"11040@E01","GHR-11040@E01","C09E9.2",NA,NA,NA
"11040@E06","GHR-11040@E06","C02F4.3",NA,NA,NA
"11040@G08","GHR-11040@G08","C05G6.2",NA,NA,NA
"11041@C04","GHR-11041@C04","F56F12.1",NA,NA,NA
"11041@D04","GHR-11041@D04","CC8.1",NA,NA,NA
"11043@D01","GHR-11043@D01","Y77E11A.5",NA,NA,NA
"11043@D05","GHR-11043@D05","F55G1.12",NA,NA,NA
"11043@H02","GHR-11043@H02","ZK616.7",NA,NA,NA
"11044@F02","GHR-11044@F02","W03B1.6",NA,NA,NA
"11049@D02","GHR-11049@D02","Y45F10A.1",NA,NA,NA
"11050@A02","GHR-11050@A02","M03D4.6",NA,NA,NA
"11050@E11","GHR-11050@E11","C27H2.3",NA,NA,NA
"11051@C08","GHR-11051@C08","VT23B5.2",NA,NA,NA
"11052@A04","GHR-11052@A04","Y80D3A.6",NA,NA,NA
"11052@D03","GHR-11052@D03","C17B7.6",NA,NA,NA
"11052@D05","GHR-11052@D05","C18C4.6",NA,NA,NA
"11052@G06","GHR-11052@G06","Y116F11A.5",NA,NA,NA
"11053@C10","GHR-11053@C10","W02H5.1",NA,NA,NA
"11053@F11","GHR-11053@F11","Y51A2B.1",NA,NA,NA
"11054@B12","GHR-11054@B12","C29G2.1",NA,NA,NA
"11054@C01","GHR-11054@C01","F16H6.6",NA,NA,NA
"11055@A08","GHR-11055@A08","T11F9.8",NA,NA,NA
"11056@F05","GHR-11056@F05","F16H6.5",NA,NA,NA
"11056@F07","GHR-11056@F07","F23B12.3",NA,NA,NA
"11057@B03","GHR-11057@B03","Y43F4B.8",NA,NA,NA
"11057@E05","GHR-11057@E05","ZK994.4",NA,NA,NA
"11058@A04","GHR-11058@A04","W02H5.9",NA,NA,NA
"11058@D10","GHR-11058@D10","Y69H2.13",NA,NA,NA
"11058@E09","GHR-11058@E09","Y43F11A.3",NA,NA,NA
"11062@E02","GHR-11062@E02","F38E1.2",NA,NA,NA
"11063@F12","GHR-11063@F12","Y111B2A.26",NA,NA,NA
"11064@C08","GHR-11064@C08","C14A6.2",NA,NA,NA
"11065@H10","GHR-11065@H10","Y105E8A.29",NA,NA,NA
"11069@D05","GHR-11069@D05","F58E6.3",NA,NA,NA
"11071@F06","GHR-11071@F06","C48G7.1",NA,NA,NA
"11072@D06","GHR-11072@D06","Y38C9A.1",NA,NA,NA
"11072@G10","GHR-11072@G10","F22A3.4",NA,NA,NA
"11073@C03","GHR-11073@C03","C15A7.3",NA,NA,NA
"11073@D01","GHR-11073@D01","C24A3.8",NA,NA,NA
"11073@D08","GHR-11073@D08","F13D2.4",NA,NA,NA
"11073@D10","GHR-11073@D10","T03G11.5",NA,NA,NA
"11073@F02","GHR-11073@F02","C04F6.2",NA,NA,NA
"11073@F12","GHR-11073@F12","C34F6.6",NA,NA,NA
"11073@G05","GHR-11073@G05","F38B6.1",NA,NA,NA
"11073@H10","GHR-11073@H10","T19D7.2",NA,NA,NA
"11074@C01","GHR-11074@C01","F32A6.1",NA,NA,NA
"11074@D01","GHR-11074@D01","C46E1.1",NA,NA,NA
"11074@E02","GHR-11074@E02","C34E7.2",NA,NA,NA
"11074@E10","GHR-11074@E10","D2021.8",NA,NA,NA
"11074@F03","GHR-11074@F03","T01C1.3",NA,NA,NA
"11074@H03","GHR-11074@H03","M79.3",NA,NA,NA
"11075@C05","GHR-11075@C05","T05A10.4",NA,NA,NA
"11075@E01","GHR-11075@E01","C15H9.10",NA,NA,NA
"11075@G08","GHR-11075@G08","F01E11.2",NA,NA,NA
"11076@F02","GHR-11076@F02","F48B9.2",NA,NA,NA
"11077@B04","GHR-11077@B04","C43H6.5",NA,NA,NA
"11077@C05","GHR-11077@C05","C40H5.3",NA,NA,NA
"11078@F04","GHR-11078@F04","F01G12.6",NA,NA,NA
"11078@H05","GHR-11078@H05","C05D9.8",NA,NA,NA
"11079@A03","GHR-11079@A03","T02C5.2",NA,NA,NA
"11079@A09","GHR-11079@A09","6R55.1",NA,NA,NA
"11079@C01","GHR-11079@C01","K09E3.3",NA,NA,NA
"11080@E12","GHR-11080@E12","F15A8.7",NA,NA,NA
"11082@H10","GHR-11082@H10","K03C7.1",NA,NA,NA
"11202@A11","GHR-11202@A11","C44E4.2",NA,NA,NA
"11202@B09","GHR-11202@B09","Y92C3A.1",NA,NA,NA
"11202@C02","GHR-11202@C02","ZK1055.3",NA,NA,NA
"11203@G05","GHR-11203@G05","F08D12.13",NA,NA,NA
"11204@C05","GHR-11204@C05","C15H7.5",NA,NA,NA
"11204@E07","GHR-11204@E07","C52D10.2",NA,NA,NA
"11205@A09","GHR-11205@A09","F57B1.7",NA,NA,NA
"11205@D06","GHR-11205@D06","Y59A8B.2",NA,NA,NA
"11205@F01","GHR-11205@F01","F52B11.7",NA,NA,NA
"11207@D02","GHR-11207@D02","T08A9.4",NA,NA,NA
"11207@E02","GHR-11207@E02","C43H6.2",NA,NA,NA
"11207@E06","GHR-11207@E06","F57C7.5",NA,NA,NA
"11207@G01","GHR-11207@G01","F13C5.4",NA,NA,NA
"11301@B11","GHR-11301@B11","E03A3.8",NA,NA,NA
"11302@A07","GHR-11302@A07","D1007.11",NA,NA,NA
"11303@E05","GHR-11303@E05","T02G5.10",NA,NA,NA
"11303@H04","GHR-11303@H04","Y51H7BR.3",NA,NA,NA
"11304@A10","GHR-11304@A10","W03F8.8",NA,NA,NA
"11304@A11","GHR-11304@A11","Y11D7A.2",NA,NA,NA
"11304@C10","GHR-11304@C10","Y116A8C.6",NA,NA,NA
"11304@E03","GHR-11304@E03","F54D12.5",NA,NA,NA
"11305@E08","GHR-11305@E08","T15B7.6",NA,NA,NA
"11305@E10","GHR-11305@E10","F52F10.1",NA,NA,NA
"11305@G08","GHR-11305@G08","F48F5.3",NA,NA,NA
"11306@C04","GHR-11306@C04","ZC266.2",NA,NA,NA
"11306@H02","GHR-11306@H02","DC2.4",NA,NA,NA
"11308@B01","GHR-11308@B01","F45E1.3",NA,NA,NA
